Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.8339452,52.6620938,-6.6,14.5,29.3,33.4,47.5,2,2,0
5.8339458,52.6621028,-6.6,14.5,29.3,33.5,47.5,2,2,0
5.8339464,52.6621118,-6.6,14.3,28.9,33.4,47.4,2,2,0
5.833947,52.6621207,-6.6,14.1,28.7,33.3,47.4,2,2,0
5.8339475,52.6621297,-6.6,14.1,28.3,33.3,47.3,2,2,0
5.8339431,52.6618331,-6.5,10.9,25.7,31,48.3,1,2,0
5.8339437,52.661842,-6.5,11.1,25.7,31.6,48.4,1,2,0
5.8339443,52.661851,-6.5,11.2,25.7,31.7,48.4,1,2,0
5.8339449,52.66186,-6.5,11.2,25.7,31.8,48.8,1,2,0
5.8339455,52.661869,-6.5,11.3,25.8,31.8,48.9,1,2,0
5.833946,52.661878,-6.5,11.3,25.9,31.8,48.9,1,2,0
5.8339466,52.6618869,-6.5,11.3,26.4,31.8,49.2,1,2,0
5.8339472,52.6618959,-6.5,11.3,26.6,31.8,49.3,1,2,0
5.8339478,52.6619049,-6.5,11.4,26.8,31.8,49.3,1,2,0
5.8339484,52.6619139,-6.5,11.5,26.9,31.8,49.4,1,2,0
5.8339489,52.6619229,-6.5,11.5,27.1,31.9,49.4,1,2,0
5.8339495,52.6619318,-6.5,11.6,27.1,32,49.5,1,2,0
5.8339501,52.6619408,-6.5,11.7,27.2,32,49.5,1,2,0
5.8339507,52.6619498,-6.5,11.8,27.3,32,49.5,1,2,0
5.8339513,52.6619588,-6.5,11.8,27.3,32,49.5,1,2,0
5.8339518,52.6619678,-6.5,11.8,27.3,31.9,49.3,1,2,0
5.8339524,52.6619767,-6.5,11.7,27.1,31.7,49.2,1,2,0
5.833953,52.6619857,-6.5,11.6,27,31.6,49,1,2,0
5.8339536,52.6619947,-6.5,11.6,26.9,31.7,48.9,1,2,0
5.8339542,52.6620037,-6.5,11.6,26.7,31.7,48.6,1,2,0
5.8339548,52.6620126,-6.5,11.5,26.7,31.8,48.4,2,2,0
5.8339553,52.6620216,-6.5,11.6,26.8,31.8,48.3,2,2,0
5.8339559,52.6620306,-6.5,11.8,27,31.8,48.2,2,2,0
5.8339565,52.6620396,-6.6,12.1,27.2,31.8,48.1,2,2,0
5.8339571,52.6620486,-6.6,12.3,27.5,32.1,48,2,2,0
5.8339577,52.6620575,-6.6,12.7,27.8,32.4,47.9,2,2,0
5.8339582,52.6620665,-6.6,13.1,28,32.8,47.8,2,2,0
5.8339588,52.6620755,-6.6,13.6,28.3,33.1,47.7,2,2,0
5.8339594,52.6620845,-6.6,14.1,28.7,33.2,47.6,2,2,0
5.83396,52.6620935,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.8339606,52.6621024,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.8339611,52.6621114,-6.6,14.1,28.7,33.3,47.5,2,2,0
5.8339617,52.6621204,-6.6,14.1,28.3,33.3,47.4,2,2,0
5.8339623,52.6621294,-6.6,14.1,28.3,33.3,47.4,2,2,0
