Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.833976289,52.66188617,-6.5,11.4,26.2,31.8,49.3,1,2,0
5.833976648,52.66189523,-6.5,11.5,26.5,31.9,49.4,1,2,0
5.833977368,52.66190417,-6.5,11.5,26.8,32,49.7,1,2,0
5.833977907,52.66191323,-6.5,11.6,27,32.1,49.8,1,2,0
5.833978447,52.66192206,-6.5,11.6,27.1,32.2,50,1,2,0
5.833979167,52.66193112,-6.5,11.7,27.3,32.4,50.3,1,2,0
5.833979526,52.66194006,-6.5,11.9,27.5,32.6,50.5,2,2,0
5.833980246,52.66194912,-6.5,12,27.8,32.7,50.5,2,2,0
5.833980785,52.66195806,-6.5,12.1,27.9,32.8,50.4,2,2,0
5.833981325,52.66196701,-6.5,12.1,27.9,32.9,50.3,2,2,0
5.833982044,52.66197595,-6.5,11.9,27.6,32.7,50,2,2,0
5.833982584,52.66198501,-6.5,11.8,27.3,32.5,49.9,2,2,0
5.833983124,52.66199395,-6.5,11.7,27.1,32.4,49.7,1,2,0
5.833983663,52.66200301,-6.5,11.7,26.8,32.1,49.4,1,2,0
5.833984383,52.66201185,-6.5,11.5,26.7,32,48.9,1,2,0
5.833984922,52.6620209,-6.5,11.5,26.7,31.8,48.5,1,2,0
5.833985462,52.66202985,-6.5,11.5,26.8,31.8,48.3,2,2,0
5.833986001,52.6620389,-6.5,11.7,27,31.8,48.2,2,2,0
5.833986541,52.66204785,-6.6,11.9,27.2,31.9,48.1,2,2,0
5.83398726,52.66205679,-6.6,12.1,27.3,32.1,48.4,2,2,0
5.8339878,52.66206585,-6.6,12.4,27.5,32.5,48.6,2,2,0
5.83398834,52.66207479,-6.6,12.9,27.9,32.8,48.6,2,2,0
5.833988879,52.66208385,-6.6,13.4,28,33,48.1,2,2,0
5.833989419,52.66209268,-6.6,13.7,28.3,33.1,47.9,2,2,0
5.833990138,52.66210174,-6.6,13.8,28.3,33.2,47.8,2,2,0
5.833990678,52.66211068,-6.6,14,28.3,33.2,47.4,2,2,0
5.833991217,52.66211974,-6.6,13.8,28.3,33.2,47.3,2,2,0
5.833991757,52.66212868,-6.6,13.7,28.3,33.2,47.3,2,2,0
5.833992476,52.66213763,-6.6,13.6,28.1,33.2,47.3,2,2,0
5.833993016,52.66214657,-6.6,13.6,27.2,33.1,46.2,2,2,0
5.833984562,52.66178712,-6.5,11.5,26.3,31.8,48.2,1,2,0
5.833985102,52.66179606,-6.5,11.5,26.1,31.7,48.2,1,2,0
5.833985642,52.66180512,-6.5,11.2,25.9,31.3,48.2,1,2,0
5.833986361,52.66181395,-6.5,10.8,25.7,31.1,48.2,1,2,0
5.833986901,52.66182301,-6.5,10.7,25.6,31,48.2,1,2,0
5.83398744,52.66183195,-6.5,10.8,25.6,31,48.2,1,2,0
5.83398798,52.66184101,-6.5,10.8,25.7,31,48.3,1,2,0
5.833988519,52.66184995,-6.5,10.9,25.7,31.1,48.4,1,2,0
5.833989239,52.6618589,-6.5,11.2,25.7,31.4,48.4,1,2,0
