X,Y,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Hoogte2,speed(km/h,tare(kg),workwidth(,yield(ton/,point_weig,tarecorrec,tarecorre2,SampleID
5.83637792815538,52.660014024095,-6.5,11.743,26.881,31.801,48.728,-4,3.924,21,2.25,59.791,0.398,59.791,31.988,92
5.83630031666426,52.6600906091173,-6.5,11.58,26.557,31.445,48.25,-4,5.202,21,2.232,45.479,0.816,45.479,32.714,93
5.83622279510533,52.6601671940053,-6.5,11.497,26.511,31.258,48.065,-4,6.284,21,2.213,48.143,1.745,48.143,34.795,94
5.8361452735464,52.6602437787592,-6.5,11.307,25.645,30.36,46.489,-4,6.367,21,2.25,52.488,2.041,52.488,31.306,95
5.83606766205525,52.6603203633789,-6.5,11.053,25.045,29.689,45.554,-4,6.389,21,2.188,45.004,1.958,45.004,34.832,96
5.83599005056413,52.6603969478644,-6.49,10.936,24.912,29.747,45.882,-4,6.412,21,2.216,44.391,1.974,44.391,32.601,97
5.8359125290052,52.6604735322157,-6.42,11.211,25.747,30.719,47.277,-4,6.395,21,2.25,40.825,1.877,40.825,36.409,98
5.83583500744626,52.6605501164329,-6.4,11.334,26.107,31.247,48.103,-4,6.411,21,2.203,41.403,1.739,41.403,32.054,99
5.8357573959551,52.6606267005158,-6.48,11.63,27.037,32.408,50.193,-4,6.396,21,2.224,46.254,1.598,46.254,32.184,100
5.83567978446399,52.6607032844646,-6.5,12.239,28.601,34.019,52.752,-4,6.416,21,2.25,53.34,1.666,53.34,36.08,101
5.83560226290505,52.6607798682792,-6.5,12.489,29.389,35.171,54.641,-4,6.419,21,2.213,48.256,1.957,48.256,33.155,102
5.83552474134612,52.6608564519596,-6.57,13.802,32.595,38.758,59.757,-4,6.377,21,2.237,58.204,1.934,58.204,32.989,103
5.83544721978719,52.6609330355059,-6.6,14.283,33.662,39.875,61.425,-4,6.389,21,2.25,49.868,2.067,49.868,31.621,104
5.83536960829603,52.6610096189179,-6.58,14.13,33.341,39.687,61.099,-4,6.398,21,2.227,53.506,2.132,53.506,35.685,105
5.83529199680491,52.6610862021958,-6.59,13.628,31.967,38.178,59.277,-4,6.412,21,2.157,55.397,1.998,55.397,32.613,106
5.83521447524597,52.6611627853395,-6.6,13.39,31.35,37.417,57.83,-4,6.39,21,2.086,57.721,2.068,57.721,34.422,107
5.83513695368705,52.661239368349,-6.59,12.544,29.308,35.266,54.652,-4,6.392,21,2.22,52.851,2.081,52.851,35.567,108
5.83505935906703,52.6613159508174,-6.6,12.586,29.251,35.128,54.277,-4,6.395,21,2.25,56.348,2.095,56.348,32.658,109
5.83498180376583,52.6613925343724,-6.6,12.763,29.485,35.167,54.071,-4,6.39,21,2.193,49.08,2.076,49.08,37.553,110
5.83490420914584,52.6614691165724,-6.6,12.528,28.942,34.409,52.813,-4,6.417,21,2.228,52.212,2.197,52.212,35.094,111
5.8348266875869,52.6615456990452,-6.6,11.937,27.331,32.637,50.179,-4,6.382,21,2.25,53.546,2.194,53.546,32.149,112
5.83474916602797,52.6616222813838,-6.6,11.899,27.081,32.487,49.741,-4,6.38,21,2.215,53.231,2.084,53.231,35.754,113
5.83467164446903,52.6616988635882,-6.59,12.12,27.654,32.788,50.008,-4,6.414,21,2.175,52.536,2.181,52.536,38.475,114
5.8345941229101,52.6617754456585,-6.52,11.804,27.121,32.466,50.002,-4,6.425,21,2.25,52.177,2.189,52.177,31.744,115
5.83451660135117,52.6618520275945,-6.52,11.902,27.246,32.577,50.111,-4,6.383,21,2.22,53.396,2.118,53.396,36.2,116
5.83443907979223,52.6619286093964,-6.52,11.815,27.029,32.603,50.153,-4,6.362,21,2.21,53.374,2.053,53.374,35.949,117
5.8343615582333,52.6620051910641,-6.5,12.083,27.656,33.264,51.265,-4,6.367,21,2.241,53.134,1.964,53.134,35.108,118
5.83428403667436,52.6620817725976,-6.49,11.879,27.524,32.884,50.848,-4,5.457,21,2.25,38.798,2.301,38.798,31.832,119
5.83420651511543,52.6621583539969,-6.58,12.875,27.217,31.479,46.148,-4,3.115,21,2.183,23.845,2.019,23.845,35.057,120
5.83433286986055,52.6622054264001,-6.6,13.14,27.496,31.747,46.011,-4,3.368,21,2.25,5.439,1.844,5.439,32.588,121
5.83441039141948,52.6621288450833,-6.5,11.94,27.465,33.005,50.625,-4,5.49,21,2.25,25.436,2.218,25.436,49.884,122
5.83448791297842,52.6620522636323,-6.52,12.046,27.733,33.333,51.48,-4,6.337,21,2.25,50.001,2.013,50.001,27.089,123
5.83456543453735,52.661975682047,-6.58,11.944,27.229,32.77,50.483,-4,6.371,21,2.25,56.624,1.879,56.624,38.229,124
5.83464295609628,52.6618991003276,-6.59,12.092,27.512,32.985,50.567,-4,6.394,21,2.25,47.287,1.743,47.287,52.575,125
5.83472047765521,52.6618225184741,-6.58,12.352,28.084,33.379,51.089,-4,6.225,21,2.25,45.139,1.436,45.139,21.897,126
5.83479799921415,52.6617459364863,-6.59,11.916,27.151,32.574,50.08,-4,5.981,21,2.25,44.051,1.607,44.051,64.993,127
5.83487552077308,52.6616693543644,-6.59,11.876,27.286,32.744,50.373,-4,6.382,21,2.25,40.258,2.026,40.258,74.616,128
5.83495304233202,52.6615927721082,-6.6,12.617,28.969,34.527,52.784,-4,6.379,21,2.25,50.173,2.084,50.173,97.32,129
5.83503056389095,52.6615161897179,-6.6,12.574,29.369,35.135,54.045,-4,6.395,21,2.25,49.625,2.133,49.625,64.493,130
5.83510817538207,52.6614396071935,-6.6,12.888,30.068,35.97,55.433,-4,6.388,21,2.25,54.585,2.1,54.585,69.828,131
5.83518578687323,52.6613630245348,-6.6,13.318,30.923,36.797,56.653,-4,6.4,21,2.25,51.778,1.971,51.778,88.742,132
5.83526330843216,52.6612864417419,-6.59,13.266,30.875,37.022,56.971,-4,6.396,21,2.25,51.056,1.981,51.056,73.217,133
5.8353408299911,52.6612098588149,-6.6,13.399,31.403,37.717,58.156,-4,6.398,21,2.25,45.116,2.111,45.116,66.419,134
5.83541835155003,52.6611332757537,-6.57,13.967,32.864,39.244,60.624,-4,6.391,21,2.25,52.476,2.063,52.476,79.008,135
5.83549596304115,52.6610566925583,-6.59,14.388,33.922,40.371,62.066,-4,6.394,21,2.25,53.303,2.104,53.303,80.579,136
5.83557357453231,52.6609801092287,-6.6,14.372,33.642,39.722,60.971,-4,6.366,21,2.25,49.704,1.855,49.704,64.15,137
5.83565109609124,52.660903525765,-6.57,13.821,32.385,38.314,59.011,-4,6.403,21,2.25,49.644,1.931,49.644,75.346,138
5.83572861765017,52.660826942167,-6.5,13.456,31.327,36.87,56.66,-4,6.393,21,2.25,46.948,1.706,46.948,75.938,139
5.8358061392091,52.6607503584349,-6.5,12.693,29.447,34.847,53.576,-4,6.402,21,2.25,48.383,1.645,48.383,66.226,140
5.83588375070022,52.6606737745686,-6.5,12.179,28.397,33.899,52.26,-4,6.407,21,2.25,39.738,1.446,39.738,91.588,141
5.83596136219138,52.6605971905681,-6.46,11.75,27.482,32.763,50.761,-4,6.414,21,2.25,36.955,1.739,36.955,84.854,142
5.83603888375031,52.6605206064335,-6.41,11.802,27.202,32.195,49.393,-4,6.417,21,2.25,40.231,1.721,40.231,55.987,143
5.83611640530924,52.6604440221646,-6.49,11.326,25.906,30.88,47.552,-4,6.414,21,2.25,42.52,2.158,42.52,73.243,144
5.83619401680036,52.6603674377616,-6.5,11.404,26.139,30.828,47.257,-4,6.39,21,2.25,47.886,2.139,47.886,95.393,145
5.83627162829152,52.6602908532244,-6.5,11.374,25.983,30.654,46.831,-4,6.313,21,2.25,54.015,1.787,54.015,53.113,146
5.83634914985046,52.6602142685529,-6.5,11.272,25.534,30.242,46.306,-4,6.174,21,2.25,51.56,1.175,51.56,71.334,147
